rank,legal_name,approval_count,approval_rate,case_count,denied_count,certified_positions,industry,naics_code,hq_location,socal_worksites,aliases
97,CORPORATE SOLUTIONS GENERAL INC,1,1.0000,1,0,1,"Professional, scientific & technical services",541511,"HOUSTON, TX",Cypress,CORPORATE SOLUTIONS GENERAL INC
98,Croda Inc.,1,1.0000,1,0,1,Wholesale trade,424690,"Plainsboro, NJ",Los Angeles,Croda Inc.
99,"CrowdStrike, Inc.",1,1.0000,1,0,1,"Professional, scientific & technical services",541519,"Sunnyvale, CA",Irvine,"CrowdStrike, Inc."
100,"CxOps, LLC",1,1.0000,1,0,1,Information,518210,"El Segundo, CA",Torrance,"CxOps, LLC"
101,"Cypress Creek Renewables, LLC",1,1.0000,1,0,1,Utilities,221114,"Santa Monica, CA",Santa Monica,"Cypress Creek Renewables, LLC"
102,Daybreak Game Company LLC,1,1.0000,1,0,1,Information,51121,"San Diego, CA",San Diego,Daybreak Game Company LLC
103,Dazzlon Computer Services Inc,1,1.0000,1,0,1,"Professional, scientific & technical services",541511,"McKinney, TX",Newport Beach,Dazzlon Computer Services Inc
104,"Deep Seas, LLC",1,1.0000,1,0,1,"Professional, scientific & technical services",541519,"San Diego, CA",San Diego,"Deep Seas, LLC"
105,"DISNEY PARKS TECHNOLOGY SERVICES CO., LLC",1,1.0000,1,0,1,"Professional, scientific & technical services",541511,"BURBANK, CA",ANAHEIM,"DISNEY PARKS TECHNOLOGY SERVICES CO., LLC"
106,"Dorado Design & Construction, Inc.",1,1.0000,1,0,1,Construction,236220,"Pasadena, CA",Pasadena,"Dorado Design & Construction, Inc."
107,"Dropbox, Inc.",1,1.0000,1,0,1,Information,518210,"San Francisco, CA",Whittier,"Dropbox, Inc."
108,"DYN365, INC.",1,1.0000,1,0,1,"Professional, scientific & technical services",541519,"IRVINE, CA",Rancho Santa Margarita,"DYN365, INC."
109,Earnest LLC,1,1.0000,1,0,1,Finance & insurance,522291,"San Francsico, CA",Upland,Earnest LLC
110,"Elevate Semiconductor, Inc.",1,1.0000,1,0,1,Manufacturing,334413,"San Diego, CA",San Diego,"Elevate Semiconductor, Inc."
111,Elite Lighting,1,1.0000,1,0,1,Wholesale trade,423610,"Commerce, CA",Commerce,Elite Lighting
112,Enevate Corporation,1,1.0000,1,0,1,"Professional, scientific & technical services",541715,"Irvine, CA",Irvine,Enevate Corporation
113,EOS Accountants LLP,1,1.0000,1,0,1,"Professional, scientific & technical services",541211,"Teaneck, NJ",Torrance,EOS Accountants LLP
114,"Evite, Inc.",1,1.0000,1,0,1,"Professional, scientific & technical services",541519,"Los Angeles, CA",Los Angeles,"Evite, Inc."
115,"Family Health Centers of San Diego, Inc.",1,1.0000,1,0,1,Health care & social assistance,62149,"San Diego, CA",San Diego,"Family Health Centers of San Diego, Inc."
116,"Fashion Nova, LLC",1,1.0000,1,0,1,Manufacturing,31599,"Vernon, CA",Vernon,"Fashion Nova, LLC"
117,Fish & Richardson P.C.,1,1.0000,1,0,1,"Professional, scientific & technical services",54111,"Minneapolis, MN",San Diego,Fish & Richardson P.C.
118,"Forge Technology, Inc",1,1.0000,1,0,1,"Professional, scientific & technical services",541511,"Los Angeles, CA",Los Angeles,"Forge Technology, Inc"
119,GlobalLogic Inc.,1,1.0000,1,0,1,"Professional, scientific & technical services",541511,"Santa Clara, CA",Irvine,GlobalLogic Inc.
120,Grant Thornton Advisors LLC,1,1.0000,1,0,1,"Professional, scientific & technical services",541219,"Chicago, IL",Los Angeles,Grant Thornton Advisors LLC
121,Green Hills Software LLC,1,1.0000,1,0,1,Information,511210,"Santa Barbara, CA",Santa Barbara,Green Hills Software LLC
122,"Gridspace, Inc",1,1.0000,1,0,1,Wholesale trade,423430,"San Francisco, CO",Los Angeles,"Gridspace, Inc"
123,"HARMAN CONNECTED SERVICES, INC.",1,1.0000,1,0,1,"Professional, scientific & technical services",541511,"MOUNTAIN VIEW, CA",San Diego,"HARMAN CONNECTED SERVICES, INC."
124,HCL AMERICA INC,1,1.0000,1,0,1,"Professional, scientific & technical services",541511,"Santa Clara, CA",Irvine,HCL AMERICA INC
125,Hector Systems Inc,1,1.0000,1,0,1,"Professional, scientific & technical services",541511,"Irving, TX",WoodlandHills,Hector Systems Inc
126,HENSEL PHELPS CONSTRUCTION CO,1,1.0000,1,0,1,Construction,236220,"GREELEY, CO",Los Angeles,HENSEL PHELPS CONSTRUCTION CO
127,"High Temperature Superconductors, Inc.",1,1.0000,1,0,1,Manufacturing,339999,"Santa Barbara, CA",Santa Barbara,"High Temperature Superconductors, Inc."
128,"Hire IT People, Inc",1,1.0000,1,0,1,"Professional, scientific & technical services",541511,"Piscataway, NJ",Eastvale,"Hire IT People, Inc"
129,"HOT TOPIC, INC.",1,1.0000,1,0,1,Manufacturing,31599,"CITY OF INDUSTRY, CA",Riverside,"HOT TOPIC, INC."
130,Hotta Liesenberg Saito LLP,1,1.0000,1,0,1,"Professional, scientific & technical services",541211,"Torrance, CA",Torrance,Hotta Liesenberg Saito LLP
131,Huntington Medical Research Institutes,1,1.0000,1,0,1,"Professional, scientific & technical services",5417,"PASADENA, CA",PASADENA,Huntington Medical Research Institutes
132,"Hyundai AutoEver America, LLC",1,1.0000,1,0,1,Information,5191,"Fountain Valley, CA",Costa Mesa,"Hyundai AutoEver America, LLC"
133,IGT,1,1.0000,1,0,1,"Arts, entertainment & recreation",71329,"LAS VEGAS, NV",SAN DIEGO,IGT
134,"Infinity Global, Inc.",1,1.0000,1,0,1,Wholesale trade,423990,"Danville, VA",Eastvale,"Infinity Global, Inc."
135,Intervet Inc.,1,1.0000,1,0,1,"Professional, scientific & technical services",54171,"Rahway, NJ",San Diego,Intervet Inc.
136,IQVIA Inc.,1,1.0000,1,0,1,"Professional, scientific & technical services",541618,"Durham, NC",Los Angeles,IQVIA Inc.
137,"iSharingSoft, Inc.",1,1.0000,1,0,1,Information,513210,"Irvine, CA",Irvine,"iSharingSoft, Inc."
138,"James Hardie Building Products, Inc.",1,1.0000,1,0,1,Manufacturing,327420,"Chicago, IL",Claremont,"James Hardie Building Products, Inc."
139,KBR Wyle Services LLC,1,1.0000,1,0,1,"Professional, scientific & technical services",541330,"Houston, TX",San Diego,KBR Wyle Services LLC
140,KELLERMEYER BERGENSONS SERVICES LLC,1,1.0000,1,0,1,Administrative & support services,561720,"Oceanside, CA",San Diego,KELLERMEYER BERGENSONS SERVICES LLC
141,KIHUN SUNG D.D.S. INC.,1,1.0000,1,0,1,Health care & social assistance,62121,"Pomona, CA",Ontario,KIHUN SUNG D.D.S. INC.
142,"Kinovate Life Sciences, Inc.",1,1.0000,1,0,1,"Professional, scientific & technical services",541714,"Oceanside, CA",Oceanside,"Kinovate Life Sciences, Inc."
143,Knight Management Insurance Services LLC,1,1.0000,1,0,1,Finance & insurance,52429,"Los Angeles, CA",Los Angeles,Knight Management Insurance Services LLC
144,KPMG LLP,1,1.0000,1,0,1,"Professional, scientific & technical services",54121,"Dallas, TX",Los Angeles,KPMG LLP
145,Laksan Technologies LLC,1,1.0000,1,0,1,"Professional, scientific & technical services",541511,"Metuchen, NJ",Fontana,Laksan Technologies LLC
146,"LAUSD Student Health Support Services Fund, Inc.",1,1.0000,1,0,1,Educational services,611710,"Los Angeles, CA",Los Angeles,"LAUSD Student Health Support Services Fund, Inc."
147,Ligentia USA Inc.,1,1.0000,1,0,1,"Professional, scientific & technical services",541614,"Irvine, CA",Irvine,Ligentia USA Inc.
148,LOBEL FINANCIAL CORPORATION,1,1.0000,1,0,1,Finance & insurance,522220,"Anaheim, CA",Anaheim,LOBEL FINANCIAL CORPORATION
149,"M. Arthur Gensler Jr. & Associates, Inc.",1,1.0000,1,0,1,"Professional, scientific & technical services",541310,"San Francisco, CA",Los Angeles,"M. Arthur Gensler Jr. & Associates, Inc."
150,"MACOM TECHNOLOGY SOLUTIONS,INC.",1,1.0000,1,0,1,Manufacturing,334290,"LOWELL, MA",NEWPORT BEACH,"MACOM TECHNOLOGY SOLUTIONS,INC."
151,"Mathematica, Inc.",1,1.0000,1,0,1,"Professional, scientific & technical services",541720,"Princeton, NJ",Los Angeles,"Mathematica, Inc."
152,"Medical Management International, Inc.",1,1.0000,1,0,1,"Professional, scientific & technical services",541940,"Vancouver, WA",Laguna Hills,"Medical Management International, Inc."
153,"Medtronic, Inc.",1,1.0000,1,0,1,Manufacturing,334510,"Fridley, MN",North Ridge,"Medtronic, Inc."
154,"Michael Baker International, Inc.",1,1.0000,1,0,1,"Professional, scientific & technical services",541330,"Pittsburgh, PA",Ontario,"Michael Baker International, Inc."
155,Mile Rock Capital Management LLC,1,1.0000,1,0,1,Finance & insurance,523940,"Larkspur, CA",Los Angeles,Mile Rock Capital Management LLC
156,Moelis & Company Group LP,1,1.0000,1,0,1,Finance & insurance,5239,"New York, NY",Los Angeles,Moelis & Company Group LP
157,"Molex, LLC",1,1.0000,1,0,1,Manufacturing,334417,"Lisle, IL",Carlsbad,"Molex, LLC"
158,Monster Energy US LLC,1,1.0000,1,0,1,Manufacturing,312111,"Corona, CA",Corona,Monster Energy US LLC
159,Narrative Ads,1,1.0000,1,0,1,"Professional, scientific & technical services",541810,"Pasadena, CA",Pasadena,Narrative Ads
160,Netstar (US) Inc.,1,1.0000,1,0,1,"Professional, scientific & technical services",541519,"Los Angeles, CA",Los Angeles,Netstar (US) Inc.
161,"Neurocrine Biosciences, Inc.",1,1.0000,1,0,1,"Professional, scientific & technical services",541714,"San Diego, CA",San Diego,"Neurocrine Biosciences, Inc."
162,Newport Fab LLC,1,1.0000,1,0,1,Manufacturing,334413,"Newport Beach, CA",Newport Beach,Newport Fab LLC
163,"NEXT GEAR SOLUTIONS, LLC",1,1.0000,1,0,1,"Professional, scientific & technical services",541511,"Oxford, MS",Irvine,"NEXT GEAR SOLUTIONS, LLC"
164,Northwestern University,1,1.0000,1,0,1,Educational services,611310,"Evanston, IL",San Diego,Northwestern University
165,"Numann Technologies, Inc.",1,1.0000,1,0,1,"Professional, scientific & technical services",541511,"Rancho Cordova, CA",Irvine,"Numann Technologies, Inc."
166,NVIDIA Corporation,1,1.0000,1,0,1,Manufacturing,334111,"Santa Clara, CA",Irvine,NVIDIA Corporation
167,Odyssey Therapeutics Inc,1,1.0000,1,0,1,"Professional, scientific & technical services",541714,"Boston, MA",San Diego,Odyssey Therapeutics Inc
168,"OliX US, Inc.",1,1.0000,1,0,1,"Professional, scientific & technical services",5417,"Lexington, MA",San Diego,"OliX US, Inc."
169,"OneH2, Inc.",1,1.0000,1,0,1,Manufacturing,325120,"Longview, NC",Long Beach,"OneH2, Inc."
170,"PANGAEA HOLDINGS, INC.",1,1.0000,1,0,1,Retail trade,455219,"Laguna Beach, CA",Monrovia,"PANGAEA HOLDINGS, INC."
171,Persistent Systems Limited,1,1.0000,1,0,1,"Professional, scientific & technical services",541511,"Santa Clara, CA",Carlsbad,Persistent Systems Limited
172,Pictor Labs Inc,1,1.0000,1,0,1,"Professional, scientific & technical services",541714,"Los Angeles, CA",Los Angeles,Pictor Labs Inc
173,"Pleno, Inc.",1,1.0000,1,0,1,"Professional, scientific & technical services",541714,"San Diego, CA",San Diego,"Pleno, Inc."
174,Polygon Labs Services (Delaware) Inc.,1,1.0000,1,0,1,"Professional, scientific & technical services",541511,"West Hollywood, CA",Los Angeles,Polygon Labs Services (Delaware) Inc.
175,Power Source Inc,1,1.0000,1,0,1,Wholesale trade,424940,"MARINA DEL REY, CA",MARINA DEL REY,Power Source Inc
176,"Predactiv, Inc.",1,1.0000,1,0,1,Information,519190,"Palo Alto, CA",Santa Ana,"Predactiv, Inc."
177,"Prime Healthcare La Palma, LLC",1,1.0000,1,0,1,Health care & social assistance,622110,"La Palma, CA",La Palma,"Prime Healthcare La Palma, LLC"
178,"Prime Healthcare Services – Sherman Oaks, LLC",1,1.0000,1,0,1,Health care & social assistance,622110,"Sherman Oaks, CA",Sherman Oaks,"Prime Healthcare Services – Sherman Oaks, LLC"
179,"Private National Mortgage Acceptance Company, LLC",1,1.0000,1,0,1,Finance & insurance,522292,"Moorpark, CA",Agoura Hills,"Private National Mortgage Acceptance Company, LLC"
180,"R.G. Vanderweil Engineers, LLP",1,1.0000,1,0,1,"Professional, scientific & technical services",541330,"Boston, MA",Long Beach,"R.G. Vanderweil Engineers, LLP"
181,"RDC-S111, Inc.",1,1.0000,1,0,1,"Professional, scientific & technical services",541310,"Long Beach, CA",Long Beach,"RDC-S111, Inc."
182,"Red Hat, Inc.",1,1.0000,1,0,1,"Professional, scientific & technical services",541512,"Raleigh, NC",Pasadena,"Red Hat, Inc."
183,Riosoft Technology Inc.,1,1.0000,1,0,1,"Professional, scientific & technical services",541511,"Cumberland, VA",Paso Robles,Riosoft Technology Inc.
184,RM Info Solutions LLC,1,1.0000,1,0,1,"Professional, scientific & technical services",541511,"Kendall Park, NJ",San Diego,RM Info Solutions LLC
185,Sahawneh Dental Corporation,1,1.0000,1,0,1,Health care & social assistance,621210,"COSTA MESA, CA",Hesperia,Sahawneh Dental Corporation
186,"SALIENT MOTION, INC.",1,1.0000,1,0,1,Manufacturing,33641,"TORRANCE, CA",TORRANCE,"SALIENT MOTION, INC."
187,SambaNova Systems Inc.,1,1.0000,1,0,1,"Professional, scientific & technical services",54199,"Palo Alto, CA",Irvine,SambaNova Systems Inc.
188,"Samsung Electronics America, Inc.",1,1.0000,1,0,1,Wholesale trade,425110,"Ridgefield Park, NJ",Irvine,"Samsung Electronics America, Inc."
189,"Samsung Research America, Inc.",1,1.0000,1,0,1,"Professional, scientific & technical services",54171,"Mountain View, CA",Irvine,"Samsung Research America, Inc."
190,San Diego State University Research Foundation,1,1.0000,1,0,1,Other services,813211,"San Diego, CA",San Diego,San Diego State University Research Foundation
